feature,weight,weight_abs,effect
sand_10,0.40188536,0.40188536,pos
ph_200,0.18520282,0.18520282,pos
clay_60,0.17637049,0.17637049,pos
swc_10,-0.17148444,0.17148444,neg
ph_30,0.1656807,0.1656807,pos
sand_0,-0.15705584,0.15705584,neg
sand_60,-0.15521592,0.15521592,neg
ph_100,-0.15435973,0.15435973,neg
clay_100,-0.15379538,0.15379538,neg
clay_10,0.1452743,0.1452743,pos
clay_30,-0.14128315,0.14128315,neg
swc_0,0.12788852,0.12788852,pos
sand_30,-0.12568597,0.12568597,neg
ph_0,-0.113986894,0.113986894,neg
ph_60,-0.10776846,0.10776846,neg
swc_200,0.10136471,0.10136471,pos
swc_30,0.09444418,0.09444418,pos
clay_0,-0.09189129,0.09189129,neg
swc_100,-0.08451724,0.08451724,neg
bulkdens_100,-0.083584055,0.083584055,neg
sand_200,0.06574767,0.06574767,pos
bulkdens_200,0.063687176,0.063687176,pos
clay_200,0.05019311,0.05019311,pos
swc_60,-0.05013509,0.05013509,neg
soc_200,-0.045591794,0.045591794,neg
bulkdens_10,-0.045222413,0.045222413,neg
bulkdens_30,0.040929306,0.040929306,pos
tmax,0.038233925,0.038233925,pos
bulkdens_0,0.037468463,0.037468463,pos
sand_100,-0.033976547,0.033976547,neg
dayl,-0.028852819,0.028852819,neg
soc_10,0.025782876,0.025782876,pos
ph_10,0.025225313,0.025225313,pos
soc_60,0.024490468,0.024490468,pos
tmin,-0.021361055,0.021361055,neg
vp,-0.021237483,0.021237483,neg
srad,-0.016086033,0.016086033,neg
bulkdens_60,0.0129861925,0.0129861925,pos
prcp,-0.004337306,0.004337306,neg
soc_100,-0.002817881,0.002817881,neg
swe,-0.0021910062,0.0021910062,neg
soc_0,0.0013330858,0.0013330858,pos
soc_30,-0.00015271068,0.00015271068,neg
